**************************************************************************
ZEFFIRO Interface 6, Date: 12-May-2026 14:10:53
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 378; Ready; ; Total CPU time; 19.57;
Task ID; 1; Progress; 50; File; zef_import_segmentation.m; Message; Importing 6/12.; Workspace size; 0; Task time; 7; CPU usage; 281; Ready; 12-May-2026 14:11:19; Total CPU time; 40.3;
Task ID; 1; Progress; 83; File; zef_import_segmentation.m; Message; Importing 10/12.; Workspace size; 0; Task time; 14; CPU usage; 282; Ready; 12-May-2026 14:11:21; Total CPU time; 58.27;
Task ID; 2; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 300; Ready; ; Total CPU time; 85.78;
Task ID; 2; Progress; 3; File; zef_import_segmentation.m; Message; Importing 6/178.; Workspace size; 0; Task time; 7; CPU usage; 184; Ready; 12-May-2026 14:16:51; Total CPU time; 99.58;
Task ID; 2; Progress; 9; File; zef_import_segmentation.m; Message; Importing 16/178.; Workspace size; 0; Task time; 15; CPU usage; 222; Ready; 12-May-2026 14:16:17; Total CPU time; 117.05;
Task ID; 2; Progress; 11; File; zef_import_segmentation.m; Message; Importing 20/178.; Workspace size; 0; Task time; 23; CPU usage; 155; Ready; 12-May-2026 14:16:58; Total CPU time; 129.9;
Task ID; 2; Progress; 13; File; zef_import_segmentation.m; Message; Importing 24/178.; Workspace size; 0; Task time; 32; CPU usage; 151; Ready; 12-May-2026 14:17:29; Total CPU time; 143.22;
Task ID; 2; Progress; 16; File; zef_import_segmentation.m; Message; Importing 28/178.; Workspace size; 0; Task time; 41; CPU usage; 151; Ready; 12-May-2026 14:17:48; Total CPU time; 155.94;
Task ID; 2; Progress; 18; File; zef_import_segmentation.m; Message; Importing 32/178.; Workspace size; 0; Task time; 49; CPU usage; 155; Ready; 12-May-2026 14:18:04; Total CPU time; 169.52;
Task ID; 2; Progress; 20; File; zef_import_segmentation.m; Message; Importing 36/178.; Workspace size; 0; Task time; 58; CPU usage; 153; Ready; 12-May-2026 14:18:16; Total CPU time; 182.41;
Task ID; 2; Progress; 38; File; zef_import_segmentation.m; Message; Importing 68/178.; Workspace size; 0; Task time; 63; CPU usage; 382; Ready; 12-May-2026 14:16:14; Total CPU time; 201.7;
Task ID; 2; Progress; 56; File; zef_import_segmentation.m; Message; Importing 100/178.; Workspace size; 0; Task time; 68; CPU usage; 344; Ready; 12-May-2026 14:15:31; Total CPU time; 220.15;
Task ID; 2; Progress; 62; File; zef_import_segmentation.m; Message; Importing 110/178.; Workspace size; 0; Task time; 77; CPU usage; 228; Ready; 12-May-2026 14:15:34; Total CPU time; 239.85;
Task ID; 2; Progress; 70; File; zef_import_segmentation.m; Message; Importing 124/178.; Workspace size; 0; Task time; 82; CPU usage; 246; Ready; 12-May-2026 14:15:27; Total CPU time; 252.49;
Task ID; 2; Progress; 82; File; zef_import_segmentation.m; Message; Importing 146/178.; Workspace size; 0; Task time; 88; CPU usage; 294; Ready; 12-May-2026 14:15:16; Total CPU time; 268.44;
Task ID; 2; Progress; 93; File; zef_import_segmentation.m; Message; Importing 166/178.; Workspace size; 0; Task time; 93; CPU usage; 230; Ready; 12-May-2026 14:15:09; Total CPU time; 280.28;
Task ID; 2; Progress; 94; File; zef_import_segmentation.m; Message; Importing 168/178.; Workspace size; 0; Task time; 122; CPU usage; 4; Ready; 12-May-2026 14:15:38; Total CPU time; 281.48;
