**************************************************************************
ZEFFIRO Interface 6, Date: 19-May-2026 14:54:21
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_load.m; Message; Loading fields.; Workspace size; 0; Task time; 0; CPU usage; 503; Ready; ; Total CPU time; 11.16;
Task ID; 1; Progress; 81; File; zef_load.m; Message; Loading <=100 MB fields: 4560 / 5646.; Workspace size; 0; Task time; 5; CPU usage; 223; Ready; 19-May-2026 14:54:27; Total CPU time; 22.39;
Task ID; 1; Progress; 100; File; zef_load.m; Message; Loading >100 MB fields: 9 / 10.; Workspace size; 0; Task time; 12; CPU usage; 103; Ready; 19-May-2026 14:54:33; Total CPU time; 29.82;
Task ID; 1; Progress; 0; File; zef_visualize_dti_streamlines.m; Message; Initializing FreeSurfer DTI streamline visualization...; Workspace size; 0; Task time; 0; CPU usage; 435; Ready; ; Total CPU time; 558.75;
Task ID; 1; Progress; 100; File; zef_visualize_dti_streamlines.m; Message; Completed! Plotted 513 streamlines.; Workspace size; 0; Task time; 9; CPU usage; 186; Ready; 19-May-2026 15:06:27; Total CPU time; 575.45;
Task ID; 2; Progress; 0; File; zef_visualize_dti_streamlines.m; Message; Initializing FreeSurfer DTI streamline visualization...; Workspace size; 0; Task time; 0; CPU usage; 244; Ready; ; Total CPU time; 602.62;
Task ID; 2; Progress; 100; File; zef_visualize_dti_streamlines.m; Message; Completed! Plotted 513 streamlines.; Workspace size; 0; Task time; 10; CPU usage; 181; Ready; 19-May-2026 15:10:35; Total CPU time; 620.7;
Task ID; 3; Progress; 0; File; zef_visualize_dti_streamlines.m; Message; Initializing FreeSurfer DTI streamline visualization...; Workspace size; 0; Task time; 0; CPU usage; 180; Ready; ; Total CPU time; 670.7;
Task ID; 3; Progress; 100; File; zef_visualize_dti_streamlines.m; Message; Completed! Plotted 513 streamlines.; Workspace size; 0; Task time; 10; CPU usage; 190; Ready; 19-May-2026 15:11:11; Total CPU time; 689.01;
Task ID; 4; Progress; 0; File; zef_dti_tractography_covariance.m; Message; Tractography covariance: tracing streamlines...; Workspace size; 0; Task time; 0; CPU usage; 172; Ready; ; Total CPU time; 737.21;
