**************************************************************************
ZEFFIRO Interface 6, Date: 12-May-2026 17:01:04
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 187; Ready; ; Total CPU time; 41.71;
Task ID; 1; Progress; 36; File; zef_import_segmentation.m; Message; Importing 4/11.; Workspace size; 0; Task time; 7; CPU usage; 133; Ready; 12-May-2026 17:07:51; Total CPU time; 51.22;
Task ID; 1; Progress; 45; File; zef_import_segmentation.m; Message; Importing 5/11.; Workspace size; 0; Task time; 14; CPU usage; 128; Ready; 12-May-2026 17:08:01; Total CPU time; 59.64;
Task ID; 1; Progress; 55; File; zef_import_segmentation.m; Message; Importing 6/11.; Workspace size; 0; Task time; 20; CPU usage; 130; Ready; 12-May-2026 17:08:08; Total CPU time; 68.09;
Task ID; 1; Progress; 64; File; zef_import_segmentation.m; Message; Importing 7/11.; Workspace size; 0; Task time; 27; CPU usage; 129; Ready; 12-May-2026 17:08:13; Total CPU time; 76.41;
Task ID; 1; Progress; 73; File; zef_import_segmentation.m; Message; Importing 8/11.; Workspace size; 0; Task time; 34; CPU usage; 124; Ready; 12-May-2026 17:08:18; Total CPU time; 85.17;
Task ID; 1; Progress; 82; File; zef_import_segmentation.m; Message; Importing 9/11.; Workspace size; 0; Task time; 40; CPU usage; 129; Ready; 12-May-2026 17:08:21; Total CPU time; 93.63;
Task ID; 1; Progress; 91; File; zef_import_segmentation.m; Message; Importing 10/11.; Workspace size; 0; Task time; 47; CPU usage; 130; Ready; 12-May-2026 17:08:23; Total CPU time; 102.26;
Task ID; 1; Progress; 100; File; zef_import_segmentation.m; Message; Importing 11/11.; Workspace size; 0; Task time; 53; CPU usage; 129; Ready; 12-May-2026 17:08:25; Total CPU time; 110.65;
Task ID; 2; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 202; Ready; ; Total CPU time; 147.71;
Task ID; 2; Progress; 11; File; zef_import_segmentation.m; Message; Importing 5/45.; Workspace size; 0; Task time; 5; CPU usage; 219; Ready; 12-May-2026 17:26:28; Total CPU time; 159.32;
Task ID; 2; Progress; 22; File; zef_import_segmentation.m; Message; Importing 10/45.; Workspace size; 0; Task time; 10; CPU usage; 158; Ready; 12-May-2026 17:26:27; Total CPU time; 167.18;
Task ID; 2; Progress; 36; File; zef_import_segmentation.m; Message; Importing 16/45.; Workspace size; 0; Task time; 16; CPU usage; 219; Ready; 12-May-2026 17:26:25; Total CPU time; 179.27;
Task ID; 2; Progress; 42; File; zef_import_segmentation.m; Message; Importing 19/45.; Workspace size; 0; Task time; 23; CPU usage; 135; Ready; 12-May-2026 17:26:34; Total CPU time; 188.64;
Task ID; 2; Progress; 49; File; zef_import_segmentation.m; Message; Importing 22/45.; Workspace size; 0; Task time; 30; CPU usage; 154; Ready; 12-May-2026 17:26:42; Total CPU time; 200.18;
Task ID; 2; Progress; 56; File; zef_import_segmentation.m; Message; Importing 25/45.; Workspace size; 0; Task time; 38; CPU usage; 134; Ready; 12-May-2026 17:26:48; Total CPU time; 210.03;
Task ID; 2; Progress; 62; File; zef_import_segmentation.m; Message; Importing 28/45.; Workspace size; 0; Task time; 44; CPU usage; 159; Ready; 12-May-2026 17:26:52; Total CPU time; 220.81;
Task ID; 2; Progress; 69; File; zef_import_segmentation.m; Message; Importing 31/45.; Workspace size; 0; Task time; 51; CPU usage; 134; Ready; 12-May-2026 17:26:55; Total CPU time; 230.24;
Task ID; 2; Progress; 76; File; zef_import_segmentation.m; Message; Importing 34/45.; Workspace size; 0; Task time; 58; CPU usage; 159; Ready; 12-May-2026 17:26:57; Total CPU time; 240.99;
Task ID; 2; Progress; 82; File; zef_import_segmentation.m; Message; Importing 37/45.; Workspace size; 0; Task time; 65; CPU usage; 139; Ready; 12-May-2026 17:27:00; Total CPU time; 250.71;
Task ID; 2; Progress; 96; File; zef_import_segmentation.m; Message; Importing 43/45.; Workspace size; 0; Task time; 71; CPU usage; 215; Ready; 12-May-2026 17:26:55; Total CPU time; 263.02;
Task ID; 2; Progress; 100; File; zef_import_segmentation.m; Message; Importing 45/45.; Workspace size; 0; Task time; 76; CPU usage; 168; Ready; 12-May-2026 17:26:56; Total CPU time; 271.76;
