**************************************************************************
ZEFFIRO Interface 6, Date: 12-May-2026 14:53:44
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 492; Ready; ; Total CPU time; 28.03;
Task ID; 1; Progress; 42; File; zef_import_segmentation.m; Message; Importing 5/12.; Workspace size; 0; Task time; 6; CPU usage; 282; Ready; 12-May-2026 14:54:13; Total CPU time; 45.65;
Task ID; 1; Progress; 67; File; zef_import_segmentation.m; Message; Importing 8/12.; Workspace size; 0; Task time; 12; CPU usage; 260; Ready; 12-May-2026 14:54:16; Total CPU time; 60.26;
Task ID; 1; Progress; 92; File; zef_import_segmentation.m; Message; Importing 11/12.; Workspace size; 0; Task time; 17; CPU usage; 276; Ready; 12-May-2026 14:54:16; Total CPU time; 73.91;
Task ID; 2; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 314; Ready; ; Total CPU time; 89.4;
Task ID; 2; Progress; 13; File; zef_import_segmentation.m; Message; Importing 6/45.; Workspace size; 0; Task time; 7; CPU usage; 191; Ready; 12-May-2026 14:56:10; Total CPU time; 102.84;
Task ID; 2; Progress; 33; File; zef_import_segmentation.m; Message; Importing 15/45.; Workspace size; 0; Task time; 13; CPU usage; 219; Ready; 12-May-2026 14:55:56; Total CPU time; 115.3;
Task ID; 2; Progress; 40; File; zef_import_segmentation.m; Message; Importing 18/45.; Workspace size; 0; Task time; 19; CPU usage; 162; Ready; 12-May-2026 14:56:05; Total CPU time; 125.41;
Task ID; 2; Progress; 47; File; zef_import_segmentation.m; Message; Importing 21/45.; Workspace size; 0; Task time; 26; CPU usage; 137; Ready; 12-May-2026 14:56:12; Total CPU time; 134.35;
Task ID; 2; Progress; 53; File; zef_import_segmentation.m; Message; Importing 24/45.; Workspace size; 0; Task time; 32; CPU usage; 162; Ready; 12-May-2026 14:56:18; Total CPU time; 145.36;
Task ID; 2; Progress; 60; File; zef_import_segmentation.m; Message; Importing 27/45.; Workspace size; 0; Task time; 38; CPU usage; 139; Ready; 12-May-2026 14:56:22; Total CPU time; 153.88;
Task ID; 2; Progress; 67; File; zef_import_segmentation.m; Message; Importing 30/45.; Workspace size; 0; Task time; 45; CPU usage; 164; Ready; 12-May-2026 14:56:25; Total CPU time; 163.92;
Task ID; 2; Progress; 73; File; zef_import_segmentation.m; Message; Importing 33/45.; Workspace size; 0; Task time; 51; CPU usage; 138; Ready; 12-May-2026 14:56:27; Total CPU time; 172.49;
Task ID; 2; Progress; 80; File; zef_import_segmentation.m; Message; Importing 36/45.; Workspace size; 0; Task time; 57; CPU usage; 166; Ready; 12-May-2026 14:56:29; Total CPU time; 182.71;
Task ID; 2; Progress; 96; File; zef_import_segmentation.m; Message; Importing 43/45.; Workspace size; 0; Task time; 64; CPU usage; 190; Ready; 12-May-2026 14:56:25; Total CPU time; 196.37;
Task ID; 3; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 188; Ready; ; Total CPU time; 229.82;
Task ID; 3; Progress; 13; File; zef_import_segmentation.m; Message; Importing 6/45.; Workspace size; 0; Task time; 6; CPU usage; 113; Ready; 12-May-2026 15:01:46; Total CPU time; 236.98;
Task ID; 3; Progress; 33; File; zef_import_segmentation.m; Message; Importing 15/45.; Workspace size; 0; Task time; 11; CPU usage; 112; Ready; 12-May-2026 15:01:33; Total CPU time; 242.64;
Task ID; 3; Progress; 40; File; zef_import_segmentation.m; Message; Importing 18/45.; Workspace size; 0; Task time; 18; CPU usage; 109; Ready; 12-May-2026 15:01:43; Total CPU time; 249.38;
Task ID; 3; Progress; 47; File; zef_import_segmentation.m; Message; Importing 21/45.; Workspace size; 0; Task time; 24; CPU usage; 109; Ready; 12-May-2026 15:01:50; Total CPU time; 256.24;
Task ID; 3; Progress; 53; File; zef_import_segmentation.m; Message; Importing 24/45.; Workspace size; 0; Task time; 31; CPU usage; 111; Ready; 12-May-2026 15:01:57; Total CPU time; 263.98;
Task ID; 3; Progress; 60; File; zef_import_segmentation.m; Message; Importing 27/45.; Workspace size; 0; Task time; 37; CPU usage; 106; Ready; 12-May-2026 15:02:00; Total CPU time; 270.7;
Task ID; 3; Progress; 67; File; zef_import_segmentation.m; Message; Importing 30/45.; Workspace size; 0; Task time; 43; CPU usage; 106; Ready; 12-May-2026 15:02:03; Total CPU time; 276.72;
Task ID; 3; Progress; 73; File; zef_import_segmentation.m; Message; Importing 33/45.; Workspace size; 0; Task time; 49; CPU usage; 102; Ready; 12-May-2026 15:02:06; Total CPU time; 282.92;
Task ID; 3; Progress; 80; File; zef_import_segmentation.m; Message; Importing 36/45.; Workspace size; 0; Task time; 55; CPU usage; 102; Ready; 12-May-2026 15:02:07; Total CPU time; 288.96;
Task ID; 3; Progress; 96; File; zef_import_segmentation.m; Message; Importing 43/45.; Workspace size; 0; Task time; 62; CPU usage; 105; Ready; 12-May-2026 15:02:03; Total CPU time; 296.14;
