**************************************************************************
ZEFFIRO Interface 6, Date: 25-May-2026 15:27:26
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 572; Ready; ; Total CPU time; 22.15;
Task ID; 1; Progress; 36; File; zef_import_segmentation.m; Message; Importing 4/11.; Workspace size; 0; Task time; 8; CPU usage; 190; Ready; 25-May-2026 15:27:54; Total CPU time; 37.28;
Task ID; 1; Progress; 45; File; zef_import_segmentation.m; Message; Importing 5/11.; Workspace size; 0; Task time; 15; CPU usage; 140; Ready; 25-May-2026 15:28:04; Total CPU time; 46.79;
Task ID; 1; Progress; 55; File; zef_import_segmentation.m; Message; Importing 6/11.; Workspace size; 0; Task time; 21; CPU usage; 135; Ready; 25-May-2026 15:28:11; Total CPU time; 55.76;
Task ID; 1; Progress; 64; File; zef_import_segmentation.m; Message; Importing 7/11.; Workspace size; 0; Task time; 28; CPU usage; 131; Ready; 25-May-2026 15:28:16; Total CPU time; 64.18;
Task ID; 1; Progress; 73; File; zef_import_segmentation.m; Message; Importing 8/11.; Workspace size; 0; Task time; 35; CPU usage; 132; Ready; 25-May-2026 15:28:20; Total CPU time; 73.23;
Task ID; 1; Progress; 82; File; zef_import_segmentation.m; Message; Importing 9/11.; Workspace size; 0; Task time; 41; CPU usage; 132; Ready; 25-May-2026 15:28:22; Total CPU time; 81.5;
Task ID; 1; Progress; 91; File; zef_import_segmentation.m; Message; Importing 10/11.; Workspace size; 0; Task time; 48; CPU usage; 129; Ready; 25-May-2026 15:28:25; Total CPU time; 90;
Task ID; 1; Progress; 100; File; zef_import_segmentation.m; Message; Importing 11/11.; Workspace size; 0; Task time; 54; CPU usage; 129; Ready; 25-May-2026 15:28:26; Total CPU time; 98.45;
