**************************************************************************
ZEFFIRO Interface 6, Date: 13-May-2026 23:56:06
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 373; Ready; ; Total CPU time; 15.96;
Task ID; 1; Progress; 36; File; zef_import_segmentation.m; Message; Importing 4/11.; Workspace size; 0; Task time; 7; CPU usage; 144; Ready; 13-May-2026 23:56:38; Total CPU time; 26.21;
Task ID; 1; Progress; 45; File; zef_import_segmentation.m; Message; Importing 5/11.; Workspace size; 0; Task time; 13; CPU usage; 132; Ready; 13-May-2026 23:56:48; Total CPU time; 34.59;
Task ID; 1; Progress; 55; File; zef_import_segmentation.m; Message; Importing 6/11.; Workspace size; 0; Task time; 20; CPU usage; 130; Ready; 13-May-2026 23:56:55; Total CPU time; 42.78;
Task ID; 1; Progress; 64; File; zef_import_segmentation.m; Message; Importing 7/11.; Workspace size; 0; Task time; 26; CPU usage; 132; Ready; 13-May-2026 23:57:00; Total CPU time; 51.05;
Task ID; 1; Progress; 73; File; zef_import_segmentation.m; Message; Importing 8/11.; Workspace size; 0; Task time; 32; CPU usage; 136; Ready; 13-May-2026 23:57:04; Total CPU time; 59.92;
Task ID; 1; Progress; 82; File; zef_import_segmentation.m; Message; Importing 9/11.; Workspace size; 0; Task time; 39; CPU usage; 137; Ready; 13-May-2026 23:57:06; Total CPU time; 68.46;
Task ID; 1; Progress; 91; File; zef_import_segmentation.m; Message; Importing 10/11.; Workspace size; 0; Task time; 45; CPU usage; 128; Ready; 13-May-2026 23:57:09; Total CPU time; 76.57;
Task ID; 1; Progress; 100; File; zef_import_segmentation.m; Message; Importing 11/11.; Workspace size; 0; Task time; 51; CPU usage; 130; Ready; 13-May-2026 23:57:10; Total CPU time; 84.81;
Task ID; 2; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 442; Ready; ; Total CPU time; 136.02;
Task ID; 2; Progress; 20; File; zef_import_segmentation.m; Message; Importing 36/180.; Workspace size; 0; Task time; 5; CPU usage; 379; Ready; 13-May-2026 23:58:57; Total CPU time; 155.85;
Task ID; 2; Progress; 38; File; zef_import_segmentation.m; Message; Importing 68/180.; Workspace size; 0; Task time; 11; CPU usage; 368; Ready; 13-May-2026 23:58:58; Total CPU time; 175.62;
Task ID; 2; Progress; 53; File; zef_import_segmentation.m; Message; Importing 96/180.; Workspace size; 0; Task time; 16; CPU usage; 323; Ready; 13-May-2026 23:59:00; Total CPU time; 192.83;
