**************************************************************************
ZEFFIRO Interface 6, Date: 12-May-2026 15:19:09
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 241; Ready; ; Total CPU time; 12.32;
Task ID; 1; Progress; 42; File; zef_import_segmentation.m; Message; Importing 5/12.; Workspace size; 0; Task time; 5; CPU usage; 200; Ready; 12-May-2026 15:19:35; Total CPU time; 22.73;
Task ID; 1; Progress; 67; File; zef_import_segmentation.m; Message; Importing 8/12.; Workspace size; 0; Task time; 11; CPU usage; 230; Ready; 12-May-2026 15:19:38; Total CPU time; 35.35;
Task ID; 1; Progress; 100; File; zef_import_segmentation.m; Message; Importing 12/12.; Workspace size; 0; Task time; 17; CPU usage; 250; Ready; 12-May-2026 15:19:39; Total CPU time; 50.16;
Task ID; 2; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 129; Ready; ; Total CPU time; 60.06;
Task ID; 2; Progress; 13; File; zef_import_segmentation.m; Message; Importing 6/45.; Workspace size; 0; Task time; 7; CPU usage; 192; Ready; 12-May-2026 15:20:53; Total CPU time; 73.79;
Task ID; 2; Progress; 33; File; zef_import_segmentation.m; Message; Importing 15/45.; Workspace size; 0; Task time; 13; CPU usage; 216; Ready; 12-May-2026 15:20:39; Total CPU time; 86.42;
Task ID; 2; Progress; 40; File; zef_import_segmentation.m; Message; Importing 18/45.; Workspace size; 0; Task time; 19; CPU usage; 160; Ready; 12-May-2026 15:20:48; Total CPU time; 96.56;
Task ID; 2; Progress; 47; File; zef_import_segmentation.m; Message; Importing 21/45.; Workspace size; 0; Task time; 26; CPU usage; 135; Ready; 12-May-2026 15:20:56; Total CPU time; 105.87;
Task ID; 2; Progress; 53; File; zef_import_segmentation.m; Message; Importing 24/45.; Workspace size; 0; Task time; 33; CPU usage; 159; Ready; 12-May-2026 15:21:02; Total CPU time; 117.17;
Task ID; 2; Progress; 60; File; zef_import_segmentation.m; Message; Importing 27/45.; Workspace size; 0; Task time; 40; CPU usage; 136; Ready; 12-May-2026 15:21:07; Total CPU time; 126.16;
Task ID; 2; Progress; 67; File; zef_import_segmentation.m; Message; Importing 30/45.; Workspace size; 0; Task time; 46; CPU usage; 162; Ready; 12-May-2026 15:21:10; Total CPU time; 136.73;
Task ID; 2; Progress; 73; File; zef_import_segmentation.m; Message; Importing 33/45.; Workspace size; 0; Task time; 53; CPU usage; 137; Ready; 12-May-2026 15:21:12; Total CPU time; 145.52;
Task ID; 2; Progress; 80; File; zef_import_segmentation.m; Message; Importing 36/45.; Workspace size; 0; Task time; 59; CPU usage; 165; Ready; 12-May-2026 15:21:14; Total CPU time; 156.17;
Task ID; 2; Progress; 93; File; zef_import_segmentation.m; Message; Importing 42/45.; Workspace size; 0; Task time; 64; CPU usage; 173; Ready; 12-May-2026 15:21:09; Total CPU time; 165.08;
Task ID; 2; Progress; 98; File; zef_import_segmentation.m; Message; Importing 44/45.; Workspace size; 0; Task time; 70; CPU usage; 207; Ready; 12-May-2026 15:21:11; Total CPU time; 176.2;
Task ID; 3; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 107; Ready; ; Total CPU time; 779.67;
Task ID; 3; Progress; 50; File; zef_import_segmentation.m; Message; Importing 6/12.; Workspace size; 0; Task time; 7; CPU usage; 205; Ready; 12-May-2026 15:40:11; Total CPU time; 792.98;
Task ID; 3; Progress; 83; File; zef_import_segmentation.m; Message; Importing 10/12.; Workspace size; 0; Task time; 12; CPU usage; 155; Ready; 12-May-2026 15:40:12; Total CPU time; 801.53;
Task ID; 4; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 158; Ready; ; Total CPU time; 811.57;
Task ID; 4; Progress; 13; File; zef_import_segmentation.m; Message; Importing 6/45.; Workspace size; 0; Task time; 7; CPU usage; 107; Ready; 12-May-2026 15:41:30; Total CPU time; 819.03;
Task ID; 4; Progress; 33; File; zef_import_segmentation.m; Message; Importing 15/45.; Workspace size; 0; Task time; 12; CPU usage; 105; Ready; 12-May-2026 15:41:16; Total CPU time; 824.74;
Task ID; 4; Progress; 40; File; zef_import_segmentation.m; Message; Importing 18/45.; Workspace size; 0; Task time; 19; CPU usage; 103; Ready; 12-May-2026 15:41:25; Total CPU time; 831.15;
Task ID; 4; Progress; 47; File; zef_import_segmentation.m; Message; Importing 21/45.; Workspace size; 0; Task time; 25; CPU usage; 103; Ready; 12-May-2026 15:41:32; Total CPU time; 837.85;
Task ID; 4; Progress; 53; File; zef_import_segmentation.m; Message; Importing 24/45.; Workspace size; 0; Task time; 32; CPU usage; 106; Ready; 12-May-2026 15:41:38; Total CPU time; 845.02;
Task ID; 4; Progress; 60; File; zef_import_segmentation.m; Message; Importing 27/45.; Workspace size; 0; Task time; 38; CPU usage; 101; Ready; 12-May-2026 15:41:42; Total CPU time; 851.34;
Task ID; 4; Progress; 67; File; zef_import_segmentation.m; Message; Importing 30/45.; Workspace size; 0; Task time; 44; CPU usage; 143; Ready; 12-May-2026 15:41:45; Total CPU time; 860.59;
