**************************************************************************
ZEFFIRO Interface 6, Date: 12-May-2026 16:38:52
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 353; Ready; ; Total CPU time; 15.92;
Task ID; 1; Progress; 50; File; zef_import_segmentation.m; Message; Importing 6/12.; Workspace size; 0; Task time; 7; CPU usage; 250; Ready; 12-May-2026 16:39:19; Total CPU time; 33.1;
Task ID; 1; Progress; 83; File; zef_import_segmentation.m; Message; Importing 10/12.; Workspace size; 0; Task time; 13; CPU usage; 271; Ready; 12-May-2026 16:39:22; Total CPU time; 51.11;
Task ID; 2; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 288; Ready; ; Total CPU time; 69.55;
Task ID; 2; Progress; 11; File; zef_import_segmentation.m; Message; Importing 5/45.; Workspace size; 0; Task time; 5; CPU usage; 244; Ready; 12-May-2026 16:40:26; Total CPU time; 82.4;
Task ID; 2; Progress; 22; File; zef_import_segmentation.m; Message; Importing 10/45.; Workspace size; 0; Task time; 10; CPU usage; 172; Ready; 12-May-2026 16:40:26; Total CPU time; 91.22;
Task ID; 2; Progress; 36; File; zef_import_segmentation.m; Message; Importing 16/45.; Workspace size; 0; Task time; 16; CPU usage; 213; Ready; 12-May-2026 16:40:24; Total CPU time; 103.12;
Task ID; 2; Progress; 42; File; zef_import_segmentation.m; Message; Importing 19/45.; Workspace size; 0; Task time; 23; CPU usage; 135; Ready; 12-May-2026 16:40:33; Total CPU time; 112.33;
Task ID; 2; Progress; 49; File; zef_import_segmentation.m; Message; Importing 22/45.; Workspace size; 0; Task time; 30; CPU usage; 157; Ready; 12-May-2026 16:40:41; Total CPU time; 123.93;
Task ID; 2; Progress; 53; File; zef_import_segmentation.m; Message; Importing 24/45.; Workspace size; 0; Task time; 35; CPU usage; 146; Ready; 12-May-2026 16:40:45; Total CPU time; 131.26;
Task ID; 2; Progress; 60; File; zef_import_segmentation.m; Message; Importing 27/45.; Workspace size; 0; Task time; 42; CPU usage; 137; Ready; 12-May-2026 16:40:49; Total CPU time; 140.64;
Task ID; 2; Progress; 67; File; zef_import_segmentation.m; Message; Importing 30/45.; Workspace size; 0; Task time; 49; CPU usage; 166; Ready; 12-May-2026 16:40:52; Total CPU time; 151.37;
Task ID; 2; Progress; 73; File; zef_import_segmentation.m; Message; Importing 33/45.; Workspace size; 0; Task time; 55; CPU usage; 137; Ready; 12-May-2026 16:40:54; Total CPU time; 160.54;
Task ID; 2; Progress; 80; File; zef_import_segmentation.m; Message; Importing 36/45.; Workspace size; 0; Task time; 62; CPU usage; 166; Ready; 12-May-2026 16:40:56; Total CPU time; 171.39;
Task ID; 2; Progress; 91; File; zef_import_segmentation.m; Message; Importing 41/45.; Workspace size; 0; Task time; 67; CPU usage; 175; Ready; 12-May-2026 16:40:52; Total CPU time; 180.16;
Task ID; 2; Progress; 98; File; zef_import_segmentation.m; Message; Importing 44/45.; Workspace size; 0; Task time; 72; CPU usage; 218; Ready; 12-May-2026 16:40:53; Total CPU time; 191.95;
Task ID; 3; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 516; Ready; ; Total CPU time; 304;
Task ID; 3; Progress; 36; File; zef_import_segmentation.m; Message; Importing 4/11.; Workspace size; 0; Task time; 8; CPU usage; 206; Ready; 12-May-2026 16:51:53; Total CPU time; 320.42;
Task ID; 3; Progress; 45; File; zef_import_segmentation.m; Message; Importing 5/11.; Workspace size; 0; Task time; 15; CPU usage; 115; Ready; 12-May-2026 16:52:03; Total CPU time; 328.08;
Task ID; 3; Progress; 55; File; zef_import_segmentation.m; Message; Importing 6/11.; Workspace size; 0; Task time; 21; CPU usage; 129; Ready; 12-May-2026 16:52:09; Total CPU time; 336.26;
Task ID; 3; Progress; 64; File; zef_import_segmentation.m; Message; Importing 7/11.; Workspace size; 0; Task time; 27; CPU usage; 103; Ready; 12-May-2026 16:52:14; Total CPU time; 342.75;
Task ID; 3; Progress; 73; File; zef_import_segmentation.m; Message; Importing 8/11.; Workspace size; 0; Task time; 34; CPU usage; 103; Ready; 12-May-2026 16:52:18; Total CPU time; 349.49;
Task ID; 3; Progress; 82; File; zef_import_segmentation.m; Message; Importing 9/11.; Workspace size; 0; Task time; 40; CPU usage; 102; Ready; 12-May-2026 16:52:20; Total CPU time; 356.15;
Task ID; 3; Progress; 91; File; zef_import_segmentation.m; Message; Importing 10/11.; Workspace size; 0; Task time; 47; CPU usage; 107; Ready; 12-May-2026 16:52:23; Total CPU time; 364.09;
Task ID; 3; Progress; 100; File; zef_import_segmentation.m; Message; Importing 11/11.; Workspace size; 0; Task time; 54; CPU usage; 109; Ready; 12-May-2026 16:52:25; Total CPU time; 370.85;
Task ID; 4; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 254; Ready; ; Total CPU time; 475.71;
Task ID; 4; Progress; 36; File; zef_import_segmentation.m; Message; Importing 4/11.; Workspace size; 0; Task time; 7; CPU usage; 142; Ready; 12-May-2026 16:58:29; Total CPU time; 485.68;
