**************************************************************************
ZEFFIRO Interface 6, Date: 14-May-2026 00:04:45
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 157; Ready; ; Total CPU time; 13.71;
Task ID; 1; Progress; 36; File; zef_import_segmentation.m; Message; Importing 4/11.; Workspace size; 0; Task time; 6; CPU usage; 136; Ready; 14-May-2026 00:05:29; Total CPU time; 22.6;
Task ID; 1; Progress; 45; File; zef_import_segmentation.m; Message; Importing 5/11.; Workspace size; 0; Task time; 13; CPU usage; 128; Ready; 14-May-2026 00:05:39; Total CPU time; 30.58;
Task ID; 1; Progress; 55; File; zef_import_segmentation.m; Message; Importing 6/11.; Workspace size; 0; Task time; 19; CPU usage; 130; Ready; 14-May-2026 00:05:46; Total CPU time; 38.53;
Task ID; 1; Progress; 64; File; zef_import_segmentation.m; Message; Importing 7/11.; Workspace size; 0; Task time; 25; CPU usage; 134; Ready; 14-May-2026 00:05:51; Total CPU time; 46.66;
Task ID; 1; Progress; 73; File; zef_import_segmentation.m; Message; Importing 8/11.; Workspace size; 0; Task time; 31; CPU usage; 131; Ready; 14-May-2026 00:05:55; Total CPU time; 55.16;
Task ID; 1; Progress; 82; File; zef_import_segmentation.m; Message; Importing 9/11.; Workspace size; 0; Task time; 38; CPU usage; 129; Ready; 14-May-2026 00:05:57; Total CPU time; 63.13;
Task ID; 1; Progress; 91; File; zef_import_segmentation.m; Message; Importing 10/11.; Workspace size; 0; Task time; 44; CPU usage; 129; Ready; 14-May-2026 00:06:00; Total CPU time; 71.19;
Task ID; 1; Progress; 100; File; zef_import_segmentation.m; Message; Importing 11/11.; Workspace size; 0; Task time; 50; CPU usage; 130; Ready; 14-May-2026 00:06:02; Total CPU time; 79.28;
Task ID; 2; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 130; Ready; ; Total CPU time; 90.66;
Task ID; 2; Progress; 16; File; zef_import_segmentation.m; Message; Importing 28/179.; Workspace size; 0; Task time; 5; CPU usage; 444; Ready; 14-May-2026 00:07:00; Total CPU time; 114.54;
Task ID; 2; Progress; 36; File; zef_import_segmentation.m; Message; Importing 64/179.; Workspace size; 0; Task time; 11; CPU usage; 407; Ready; 14-May-2026 00:06:55; Total CPU time; 135.51;
Task ID; 2; Progress; 53; File; zef_import_segmentation.m; Message; Importing 94/179.; Workspace size; 0; Task time; 16; CPU usage; 340; Ready; 14-May-2026 00:06:55; Total CPU time; 152.56;
Task ID; 3; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 563; Ready; ; Total CPU time; 177.1;
Task ID; 4; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 289; Ready; ; Total CPU time; 185.36;
