**************************************************************************
ZEFFIRO Interface 6, Date: 22-May-2026 12:24:56
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 416; Ready; ; Total CPU time; 84.93;
Task ID; 1; Progress; 36; File; zef_import_segmentation.m; Message; Importing 4/11.; Workspace size; 0; Task time; 8; CPU usage; 167; Ready; 22-May-2026 12:31:30; Total CPU time; 98.66;
Task ID; 1; Progress; 45; File; zef_import_segmentation.m; Message; Importing 5/11.; Workspace size; 0; Task time; 15; CPU usage; 131; Ready; 22-May-2026 12:31:41; Total CPU time; 107.45;
Task ID; 1; Progress; 55; File; zef_import_segmentation.m; Message; Importing 6/11.; Workspace size; 0; Task time; 22; CPU usage; 131; Ready; 22-May-2026 12:31:48; Total CPU time; 116.3;
Task ID; 1; Progress; 64; File; zef_import_segmentation.m; Message; Importing 7/11.; Workspace size; 0; Task time; 28; CPU usage; 130; Ready; 22-May-2026 12:31:53; Total CPU time; 124.96;
Task ID; 1; Progress; 73; File; zef_import_segmentation.m; Message; Importing 8/11.; Workspace size; 0; Task time; 35; CPU usage; 130; Ready; 22-May-2026 12:31:57; Total CPU time; 134.01;
Task ID; 1; Progress; 82; File; zef_import_segmentation.m; Message; Importing 9/11.; Workspace size; 0; Task time; 42; CPU usage; 132; Ready; 22-May-2026 12:31:59; Total CPU time; 142.9;
Task ID; 1; Progress; 91; File; zef_import_segmentation.m; Message; Importing 10/11.; Workspace size; 0; Task time; 49; CPU usage; 131; Ready; 22-May-2026 12:32:02; Total CPU time; 151.93;
Task ID; 1; Progress; 100; File; zef_import_segmentation.m; Message; Importing 11/11.; Workspace size; 0; Task time; 56; CPU usage; 132; Ready; 22-May-2026 12:32:04; Total CPU time; 161.03;
