**************************************************************************
ZEFFIRO Interface 6, Date: 12-May-2026 13:44:38
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 340; Ready; ; Total CPU time; 23.22;
Task ID; 1; Progress; 50; File; zef_import_segmentation.m; Message; Importing 6/12.; Workspace size; 0; Task time; 7; CPU usage; 276; Ready; 12-May-2026 13:46:04; Total CPU time; 43.47;
Task ID; 1; Progress; 83; File; zef_import_segmentation.m; Message; Importing 10/12.; Workspace size; 0; Task time; 13; CPU usage; 284; Ready; 12-May-2026 13:46:05; Total CPU time; 61.12;
Task ID; 2; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 470; Ready; ; Total CPU time; 134.65;
Task ID; 2; Progress; 11; File; zef_import_segmentation.m; Message; Importing 5/47.; Workspace size; 0; Task time; 5; CPU usage; 251; Ready; 12-May-2026 13:49:18; Total CPU time; 147.84;
Task ID; 2; Progress; 21; File; zef_import_segmentation.m; Message; Importing 10/47.; Workspace size; 0; Task time; 10; CPU usage; 179; Ready; 12-May-2026 13:49:18; Total CPU time; 156.99;
Task ID; 2; Progress; 34; File; zef_import_segmentation.m; Message; Importing 16/47.; Workspace size; 0; Task time; 16; CPU usage; 236; Ready; 12-May-2026 13:49:17; Total CPU time; 170.87;
Task ID; 2; Progress; 40; File; zef_import_segmentation.m; Message; Importing 19/47.; Workspace size; 0; Task time; 23; CPU usage; 138; Ready; 12-May-2026 13:49:26; Total CPU time; 180.56;
Task ID; 2; Progress; 47; File; zef_import_segmentation.m; Message; Importing 22/47.; Workspace size; 0; Task time; 31; CPU usage; 160; Ready; 12-May-2026 13:49:35; Total CPU time; 192.53;
Task ID; 2; Progress; 53; File; zef_import_segmentation.m; Message; Importing 25/47.; Workspace size; 0; Task time; 38; CPU usage; 138; Ready; 12-May-2026 13:49:40; Total CPU time; 201.98;
Task ID; 2; Progress; 60; File; zef_import_segmentation.m; Message; Importing 28/47.; Workspace size; 0; Task time; 44; CPU usage; 165; Ready; 12-May-2026 13:49:43; Total CPU time; 212.39;
Task ID; 2; Progress; 66; File; zef_import_segmentation.m; Message; Importing 31/47.; Workspace size; 0; Task time; 50; CPU usage; 138; Ready; 12-May-2026 13:49:45; Total CPU time; 221.34;
Task ID; 2; Progress; 72; File; zef_import_segmentation.m; Message; Importing 34/47.; Workspace size; 0; Task time; 57; CPU usage; 167; Ready; 12-May-2026 13:49:47; Total CPU time; 231.86;
Task ID; 2; Progress; 79; File; zef_import_segmentation.m; Message; Importing 37/47.; Workspace size; 0; Task time; 63; CPU usage; 143; Ready; 12-May-2026 13:49:49; Total CPU time; 241.27;
